"Ligand"	"Receptor"	"known"	"Source"	"Databases"	"Evidence"	"PMIDs"
"Il20_Il20ra"	"Il20"	"Il20ra"	"known"	"HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12974481,11163236,12351624,14580208"
"Il20_Il20rb"	"Il20"	"Il20rb"	"known"	"HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12974481,11163236,12351624,14580208"
"Il20_Il22ra1"	"Il20"	"Il22ra1"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12974481"
"Il21_Il21r"	"Il21"	"Il21r"	"known"	"HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11418623"
"Il21_Il2rg"	"Il21"	"Il2rg"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11418623"
"Il22_Il10ra"	"Il22"	"Il10ra"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"58985"
"Il22_Il10rb"	"Il22"	"Il10rb"	"novel"	"HPRD,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10875937"
"Il22_Il21r"	"Il22"	"Il21r"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Il22_Il22ra1"	"Il22"	"Il22ra1"	"known"	"HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"58985,11035029"
"Il22_Il22ra2"	"Il22"	"Il22ra2"	"known"	"HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11390453"
"Il23a_Il12rb1"	"Il23a"	"Il12rb1"	"known"	"HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12023369,11114383,12023369,12671732"
"Il23a_Il23r"	"Il23a"	"Il23r"	"known"	"HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12023369"
"Il24_Il20ra"	"Il24"	"Il20ra"	"known"	"HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12974481,11706020"
"Il24_Il20rb"	"Il24"	"Il20rb"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12974481"
"Il24_Il22ra1"	"Il24"	"Il22ra1"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12974481"
"Il25_Il17rb"	"Il25"	"Il17rb"	"known"	"HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11058597"
"Il27_Il27ra"	"Il27"	"Il27ra"	"novel"	"HPRD,STRING.binding,"	"literature"	"supported"	"12121660"
"Il2_Cd53"	"Il2"	"Cd53"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"7963560"
"Il2_Gypa"	"Il2"	"Gypa"	"novel"	"STRING.binding,HPMR.Ligand"	"putative "	""	""
"Il2_Il2ra"	"Il2"	"Il2ra"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"15265897,1993646"
"Il2_Il2rb"	"Il2"	"Il2rb"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"15265897,11035066,8049354"
"Il2_Il2rg"	"Il2"	"Il2rg"	"known"	"DLRP,HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"15265897,10662798,8049354"
"Il2_Ngfr"	"Il2"	"Ngfr"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"1316918"
"Il31_Il31ra"	"Il31"	"Il31ra"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"15184896"
"Il31_Osmr"	"Il31"	"Osmr"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"15184896"
"Il34_Csf1r"	"Il34"	"Csf1r"	"novel"	"STRING.binding,STRING.experiment,HPMR.Receptor"	"literature"	"supported"	"22729249"
"Il3_Csf2rb2"	"Il3"	"Csf2rb2"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11700046,9278420"
"Il4_Cd53"	"Il4"	"Cd53"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"7963560"
"Il4_Il13ra1"	"Il4"	"Il13ra1"	"known"	"DLRP,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10641437"
"Il4_Il13ra2"	"Il4"	"Il13ra2"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9130652"
"Il4_Il2rg"	"Il4"	"Il2rg"	"known"	"DLRP,HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"7918378,8266078"
"Il4_Il4ra"	"Il4"	"Il4ra"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"7918378,11786020"
"Il5_Csf2rb2"	"Il5"	"Csf2rb2"	"known"	"DLRP,HPMR,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11748263"
"Il5_Il5ra"	"Il5"	"Il5ra"	"known"	"DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11748263,1732409,7721873,10880230"
"Il6_F3"	"Il6"	"F3"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Il6_Il6ra"	"Il6"	"Il6ra"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"3136546,14557255,12829785"
"Il6_Il6st"	"Il6"	"Il6st"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"8293462,3136546,14557255"
"Il7_Il2rg"	"Il7"	"Il2rg"	"known"	"DLRP,HPMR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"7522165,11858939,9010926"
"Il7_Il7r"	"Il7"	"Il7r"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"7522165,11858939,10390077"
"Il9_Il2rg"	"Il9"	"Il2rg"	"known"	"DLRP,HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9535918"
"Il9_Il9r"	"Il9"	"Il9r"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9535918,11588013"
"Inha_Acvr1"	"Inha"	"Acvr1"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Inha_Acvr1b"	"Inha"	"Acvr1b"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Inha_Acvr2a"	"Inha"	"Acvr2a"	"known"	"DLRP,HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12493742"
"Inha_Acvr2b"	"Inha"	"Acvr2b"	"known"	"DLRP,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Inha_Tgfbr3"	"Inha"	"Tgfbr3"	"known"	"HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12493742,10746731"
"Inhba_Acvr1"	"Inhba"	"Acvr1"	"known"	"DLRP,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11266516"
"Inhba_Acvr1b"	"Inhba"	"Acvr1b"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"8167568,8397373"
"Inhba_Acvr2a"	"Inhba"	"Acvr2a"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12466190,11266516"
"Inhba_Acvr2b"	"Inhba"	"Acvr2b"	"known"	"DLRP,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9202237"
"Inhba_Bambi"	"Inhba"	"Bambi"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10918299"
"Inhba_Eng"	"Inhba"	"Eng"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9872992"
"Inhba_Tgfbr3"	"Inhba"	"Tgfbr3"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10746731"
"Inhbb_Acvr1"	"Inhbb"	"Acvr1"	"known"	"DLRP,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11266516"
"Inhbb_Acvr1b"	"Inhbb"	"Acvr1b"	"known"	"DLRP,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11266516,12032389,15196700"
"Inhbb_Acvr1c"	"Inhbb"	"Acvr1c"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"15196700"
"Inhbb_Acvr2a"	"Inhbb"	"Acvr2a"	"known"	"DLRP,HPMR,HPRD,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12466190,11266516"
"Inhbb_Acvr2b"	"Inhbb"	"Acvr2b"	"known"	"DLRP,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9202237"
"Inhbc_Acvr1"	"Inhbc"	"Acvr1"	"known"	"DLRP,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12651901"
"Inhbc_Acvr1b"	"Inhbc"	"Acvr1b"	"known"	"DLRP,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12651901"
"Inhbc_Acvr2a"	"Inhbc"	"Acvr2a"	"known"	"DLRP,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12651901"
"Inhbc_Acvr2b"	"Inhbc"	"Acvr2b"	"known"	"DLRP,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12651901"
"Inhbe_Acvr1"	"Inhbe"	"Acvr1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Inhbe_Acvr1b"	"Inhbe"	"Acvr1b"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Inhbe_Acvr2a"	"Inhbe"	"Acvr2a"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Inhbe_Eng"	"Inhbe"	"Eng"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Insl5_Rxfp4"	"Insl5"	"Rxfp4"	"known"	"HPMR,IUPHAR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"15465925,15525639"
"Ins2_Igf1r"	"Ins2"	"Igf1r"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"1851182"
"Ins2_Insr"	"Ins2"	"Insr"	"known"	"DLRP,HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"2550426"
"Ins2_Lrp2"	"Ins2"	"Lrp2"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9773776"
"Itgb3bp_Itgb3"	"Itgb3bp"	"Itgb3"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"7593198,11864709"
"Itgb3bp_Itgb5"	"Itgb3bp"	"Itgb5"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10579726"
"Itih2_Fcer1a"	"Itih2"	"Fcer1a"	"novel"	"HPRD,"	"literature"	"supported"	"10917520"
"Jag1_Notch1"	"Jag1"	"Notch1"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"7697721,11006133"
"Jag1_Notch2"	"Jag1"	"Notch2"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10551863,10958687"
"Jag1_Notch3"	"Jag1"	"Notch3"	"known"	"DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11006133,14714274,12482954"
"Jag2_Notch1"	"Jag2"	"Notch1"	"known"	"DLRP,HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11006133"
"Jag2_Notch2"	"Jag2"	"Notch2"	"known"	"DLRP,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10958687"
"Jag2_Notch3"	"Jag2"	"Notch3"	"known"	"DLRP,HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11006133"
"Gm28040_Kiss1r"	"Gm28040"	"Kiss1r"	"known"	"HPMR,IUPHAR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12944565,11385580,15665093,11385580,11457843,11457843"
"Gm28040_Mmp24"	"Gm28040"	"Mmp24"	"novel"	"HPRD,HPMR.Ligand"	"literature"	"supported"	"12879005"
"Kitl_Epor"	"Kitl"	"Epor"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11124255"
"Kitl_Kit"	"Kitl"	"Kit"	"known"	"HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"1698556,1375232,7680037"
"Klk1b1_Epor"	"Klk1b1"	"Epor"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"10374881"
"Kng1_Bdkrb1"	"Kng1"	"Bdkrb1"	"known"	"HPMR,IUPHAR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"8063797,9111052,10422787,9313952"
"Kng1_Bdkrb2"	"Kng1"	"Bdkrb2"	"known"	"HPMR,IUPHAR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"8063797,8302267,9203620"
"Kng1_Cd93"	"Kng1"	"Cd93"	"novel"	"HPRD,STRING.experiment,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"12213329,8710908"
"Kng1_Gp1ba"	"Kng1"	"Gp1ba"	"novel"	"HPRD,HPMR.Ligand"	"literature"	"supported"	"9269768"
"Kng1_Gpr135"	"Kng1"	"Gpr135"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"14530218,1374385"
"Kng1_Gm49368"	"Kng1"	"Gm49368"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Kng1_Itgb2"	"Kng1"	"Itgb2"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10845911"
"Kng1_Plaur"	"Kng1"	"Plaur"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"14764580"
"Kng1_Rxfp4"	"Kng1"	"Rxfp4"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"14530218"
"Kng1_Sdc2"	"Kng1"	"Sdc2"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Krtap4-7_Aqp1"	"Krtap4-7"	"Aqp1"	"novel"	"HPRD,"	"literature"	"supported"	"16189514"
"Krtap4-7_Catsper1"	"Krtap4-7"	"Catsper1"	"novel"	"HPRD,"	"literature"	"supported"	"16189514"
"Krtap4-7_Cldn2"	"Krtap4-7"	"Cldn2"	"novel"	"HPRD,"	"literature"	"supported"	"16189514"
"Krtap4-7_Cntfr"	"Krtap4-7"	"Cntfr"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"16189514"
"Krtap4-7_Lingo1"	"Krtap4-7"	"Lingo1"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"16189514"
"Krtap4-7_Pdgfrb"	"Krtap4-7"	"Pdgfrb"	"novel"	"HPRD,HPMR.Receptor"	"literature"	"supported"	"16189514"
"Krtap4-7_Plscr4"	"Krtap4-7"	"Plscr4"	"novel"	"HPRD,"	"literature"	"supported"	"16189514"
"L1cam_Cntn1"	"L1cam"	"Cntn1"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"7595520"
"L1cam_Egfr"	"L1cam"	"Egfr"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"14718570"
"L1cam_Ephb2"	"L1cam"	"Ephb2"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"L1cam_Erbb2"	"L1cam"	"Erbb2"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"22815787"
"L1cam_Erbb3"	"L1cam"	"Erbb3"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"22815787"
"L1cam_Fgfr2"	"L1cam"	"Fgfr2"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"L1cam_Itga5"	"L1cam"	"Itga5"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10871287"
"L1cam_Itgav"	"L1cam"	"Itgav"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10871287"
"Lama1_Gpc1"	"Lama1"	"Gpc1"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama1_Itga1"	"Lama1"	"Itga1"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9688542"
"Lama1_Itga2"	"Lama1"	"Itga2"	"novel"	"HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"9688542"
"Lama1_Itga3"	"Lama1"	"Itga3"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama1_Itga6"	"Lama1"	"Itga6"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama1_Itga7"	"Lama1"	"Itga7"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11278916"
"Lama1_Itgb1"	"Lama1"	"Itgb1"	"known"	"HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11278916,9688542"
"Lama1_Itgb4"	"Lama1"	"Itgb4"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama1_Itgb8"	"Lama1"	"Itgb8"	"known"	"HPMR,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"7542940"
"Lama1_Nt5e"	"Lama1"	"Nt5e"	"novel"	"HPRD,HPMR.Ligand"	"literature"	"supported"	"10470109"
"Lama1_Sdc2"	"Lama1"	"Sdc2"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama1_Sdc4"	"Lama1"	"Sdc4"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama1_Tmprss6"	"Lama1"	"Tmprss6"	"novel"	"HPRD,HPMR.Ligand"	"literature"	"supported"	"12149247"
"Lama2_Itga1"	"Lama2"	"Itga1"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama2_Itga2"	"Lama2"	"Itga2"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama2_Itga3"	"Lama2"	"Itga3"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama2_Itga6"	"Lama2"	"Itga6"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama2_Itga7"	"Lama2"	"Itga7"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11278916"
"Lama2_Itgb1"	"Lama2"	"Itgb1"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11278916"
"Lama2_Itgb4"	"Lama2"	"Itgb4"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama3_Sdc2"	"Lama3"	"Sdc2"	"novel"	"HPRD,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"11373281"
"Lama4_Itga3"	"Lama4"	"Itga3"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama4_Itga6"	"Lama4"	"Itga6"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama4_Itgav"	"Lama4"	"Itgav"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama4_Itgb1"	"Lama4"	"Itgb1"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama5_Bcam"	"Lama5"	"Bcam"	"novel"	"HPRD,STRING.binding,STRING.experiment,HPMR.Ligand"	"literature"	"supported"	"12244066,11133776"
"Lama5_Itga2"	"Lama5"	"Itga2"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama5_Itga3"	"Lama5"	"Itga3"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama5_Itga6"	"Lama5"	"Itga6"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama5_Itgb1"	"Lama5"	"Itgb1"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama5_Itgb4"	"Lama5"	"Itgb4"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lama5_Sdc1"	"Lama5"	"Sdc1"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamb1_Itga1"	"Lamb1"	"Itga1"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamb1_Itga2"	"Lamb1"	"Itga2"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamb1_Itga3"	"Lamb1"	"Itga3"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamb1_Itga6"	"Lamb1"	"Itga6"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10842354"
"Lamb1_Itga7"	"Lamb1"	"Itga7"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamb1_Itgav"	"Lamb1"	"Itgav"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamb1_Itgb1"	"Lamb1"	"Itgb1"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10842354"
"Lamb1_Itgb4"	"Lamb1"	"Itgb4"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamb3_Cd151"	"Lamb3"	"Cd151"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamb3_Col17a1"	"Lamb3"	"Col17a1"	"novel"	"STRING.binding,HPMR.Ligand"	"putative "	""	""
"Lamb3_Itga2"	"Lamb3"	"Itga2"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamb3_Itga3"	"Lamb3"	"Itga3"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamb3_Itga6"	"Lamb3"	"Itga6"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamb3_Itgb1"	"Lamb3"	"Itgb1"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamb3_Itgb4"	"Lamb3"	"Itgb4"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamc1_Itga1"	"Lamc1"	"Itga1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Lamc1_Itga2"	"Lamc1"	"Itga2"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Lamc1_Itga3"	"Lamc1"	"Itga3"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Lamc1_Itga6"	"Lamc1"	"Itga6"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Lamc1_Itga7"	"Lamc1"	"Itga7"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Lamc1_Itgav"	"Lamc1"	"Itgav"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Lamc1_Itgb1"	"Lamc1"	"Itgb1"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Lamc1_Itgb4"	"Lamc1"	"Itgb4"	"novel"	"STRING.binding,HPMR.Receptor"	"putative "	""	""
"Lamc2_Cd151"	"Lamc2"	"Cd151"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamc2_Col17a1"	"Lamc2"	"Col17a1"	"novel"	"STRING.binding,HPMR.Ligand"	"putative "	""	""
"Lamc2_Itga2"	"Lamc2"	"Itga2"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamc2_Itga3"	"Lamc2"	"Itga3"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10842354"
"Lamc2_Itga6"	"Lamc2"	"Itga6"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10842354"
"Lamc2_Itgb1"	"Lamc2"	"Itgb1"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10842354"
"Lamc2_Itgb4"	"Lamc2"	"Itgb4"	"known"	"HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor"	"literature"	"supported"	"10842354"
"Lamc3_Itga2"	"Lamc3"	"Itga2"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamc3_Itga3"	"Lamc3"	"Itga3"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamc3_Itga6"	"Lamc3"	"Itga6"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamc3_Itgb1"	"Lamc3"	"Itgb1"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lamc3_Itgb4"	"Lamc3"	"Itgb4"	"novel"	"STRING.binding,HPMR.Ligand,HPMR.Receptor"	"putative "	""	""
"Lcn2_Lrp2"	"Lcn2"	"Lrp2"	"novel"	"HPRD,STRING.binding,HPMR.Receptor"	"literature"	"supported"	"15670845"
